name	rva	size	record
DX12SwapChain::SuspendTemporalFeatures	0x1f2a0	701	0x1110
DX12SwapChain::WaitForCommandFence	0x1f560	1294	0x1110
DX12SwapChain::WaitForFrameSlot	0x1fa70	135	0x1110
DX12SwapChain::WaitForFrameStart	0x1fb00	227	0x1110
DX12SwapChain::WaitForGPUIdle	0x1fbf0	754	0x1110
DX12SwapChain::WaitForInteropIdle	0x1fef0	197	0x1110
DX12SwapChain::WaitForPresentationCapacity	0x1ffc0	594	0x1110
ENBRenderDomain::ApplySceneDimensions	0x20520	386	0x1110
ENBRenderDomain::CancelInitialization	0x206b0	24	0x1110
ENBRenderDomain::Initialize	0x206d0	745	0x1110
ENBRenderDomain::SetQuality	0x209c0	518	0x1110
`FidelityFX::ConfigureFrameGeneration'::`2'::<lambda_1>::<lambda_invoker_cdecl>	0x21550	14	0x110f
FidelityFX::ConfigureFrameGeneration	0x220c0	3648	0x1110
FidelityFX::CopyOpaqueTexture	0x22f00	759	0x1110
FidelityFX::CreateFSRResources	0x23200	3	0x1110
FidelityFX::GenerateReactiveMask	0x23200	3	0x1110
FidelityFX::CreateFrameGenerationSwapChain	0x23210	549	0x1110
FidelityFX::CreateFrameGenerationSwapChainForHwnd	0x23440	636	0x1110
FidelityFX::DestroyFSRResources	0x23750	422	0x1110
FidelityFX::DestroyFrameGenerationResources	0x23900	771	0x1110
FidelityFX::DisableFrameGeneration	0x23c10	108	0x1110
FidelityFX::EnsureContext	0x23c80	1792	0x1110
FidelityFX::EnsureFrameGenerationContext	0x24380	1070	0x1110
FidelityFX::UpscaleD3D12	0x25660	2757	0x1110
nvngx::dlss_nr::D3D12Backend::~D3D12Backend	0x30db0	59	0x1110
nvngx::dlss_nr::D3D12Backend::EnsureFeature	0x31740	2021	0x1110
nvngx::dlss_nr::D3D12Backend::EnsureIntermediateResources	0x31f30	1004	0x1110
nvngx::dlss_nr::D3D12Backend::Evaluate	0x32320	2380	0x1110
nvngx::dlss_nr::D3D12Backend::InstallModuleNameHook	0x32c70	1185	0x1110
nvngx::dlss_nr::D3D12Backend::LoadRuntime	0x33120	3199	0x1110
nvngx::dlss_nr::D3D12Backend::NeedsFeaturePreparation	0x33f40	646	0x1110
nvngx::dlss_nr::D3D12Backend::Prepare	0x341d0	847	0x1110
nvngx::dlss_nr::D3D12Backend::PrepareFeature	0x34520	1311	0x1110
nvngx::dlss_nr::D3D12Backend::ReleaseFeature	0x34a40	838	0x1110
nvngx::dlss_nr::D3D12Backend::ReleaseFeature	0x34d90	191	0x1110
nvngx::dlss_nr::D3D12Backend::RequestReset	0x34e60	30	0x1110
nvngx::dlss_nr::D3D12Backend::RestoreModuleNameHook	0x34e80	80	0x1110
nvngx::dlss_nr::D3D12Backend::SetCreationParameters	0x34ed0	717	0x1110
nvngx::dlss_nr::D3D12Backend::SetEvaluationParameters	0x351a0	1014	0x1110
nvngx::dlss_nr::D3D12Backend::SetRuntimeDirectory	0x355a0	101	0x1110
nvngx::dlss_nr::D3D12Backend::Shutdown	0x35610	888	0x1110
OSD::BuildCompactText	0x36950	700	0x1110
OSD::BuildDetailedText	0x36c10	3155	0x1110
OSD::BuildText	0x37870	401	0x1110
